supplier_id,SKU,Units,Invoice Price,Retail Price
1,DBP 2.5 KG Tin,1,1411.20,1450.68
1,DBP  5 KG TIN,1,2770.66,2848.16
1,DBP POUCH  (1KG X 5),5,2751.84,2828.82
1,DCO  2.5 LTR TIN,1,1411.20,1450.68
1,DCO  5.0 LTR TIN ,1,2770.66,2848.16
1,DCO 6X3.0 LTR BOTTLE ,6,10330.01,10618.96
1,DCO 4x4.5 LTR BOTTLE  ,4,10292.38,10580.27
1,DCO FORTIFIED  2X10Ltr,2,10950.80,11257.26
1,DCO FORTIFIED 16lit ,1,8763.56,9008.70
1,DCO POUCH 1Ltr  ,5,2751.84,2828.82
1,DCO 4X5Ltr Can ,4,10950.92,11257.25
1,DCO POUCH 1Ltr  S/up,5,2798.89,2877.18
1,TCO 5 Litr bottle 5*4,4,10467.18,10744.52
1,TCO Pouch (1*5) Ltr ,5,2616.86,2686.13
1,MPB 2.5kg,1,1208.93,1242.75
1,MPB 4.5 KG,1,2366.12,2432.30
1,Tullo 2.5 Kg,1,1330.23,1365.45
1,Tullo 5 kg,1,2602.64,2671.53
1,TBP Pouch (1*5)kg,5,2526.78,2593.00
1,MPB 1*16Kg ,16,7426.86,7634.50
1,MPB 1*5kg,5,2160.18,2220.00
1,TULLO 5 LTR CAN,4,10657.04,10939.00
1,TULLO 16 LTR CAN,1,8404.27,8626.76
1,Tullo 3.0 LTR Bottle,6,9471.87,9722.22
1,Tco 1 LTR Bottle,5,2730.63,2802.90
1,TCO 10 LTR CAN,2,10713.93,10997.78
1,Kalonji 3 Lit Bottle ,6,15359.36,15766.00
1,Corn Oil 5 lit Bottle ,4,13502.90,13961.52
1,Cor Oil 3Lit Bottle,6,12163.77,12576.91
1,Corn Oil S.up 1x5 pouch,5,3371.08,3485.00
1,Pomace 1 Ltr ,6,14564.81,15060.00
1,Corn Oil 10 lit can,2,13521.50,13980.76
1,POMACE Oil 500ml,12,16948.15,17777.78
1,POMACE Oil 250ml,12,10062.92,10555.56
1,Extra Virgin 500ml,12,23303.70,24444.44
1,Extra Virgin 250ml,12,13378.45,14033.33
1,Pomace 3 Ltr ,4,26481.39,27777.78
1,Extra Virgin 3 ltr,4,33543.21,35185.19
1,Cup Shup 175ml,24,1094.07,1170.00
1,Cup Shup 220Ml,27,1477.37,1580.00
2,Royal Cooking oil 5x1 Ltr,5,512.00,527.00
2,16 Liter oil Tin,1,8500.00,8840.00
2,10 Ltr Oil Cane(1x2) (Canola),2,5195.00,5346.00
2,4.5 Ltr oil Bottle(4.5 Lx4) (Canola),4,2335.00,2460.00
2,3 Ltr Oil Bottle (3Ltr x6) (Canola),6,1555.00,1638.00
2,Cp (1Ltr x5) Ltr oil (Canola) 345ml Cola Next,5,515.00,535.00
2,1 Liter Oil Bottle 1Ltrx5 (Canola) ,5,517.00,540.00
2,Cp (1Ltrx5) Ltr oil (Cooking) 345ml Cola Next,5,515.00,535.00
2,16 Kg Ghee Tin,1,8500.00,8840.00
2,5 Kg Ghee Tin,1,2595.00,2700.00
2,2.5 Kg Ghee Tin,1,1295.00,1362.40
2,Cp (1x5) Ghee Ctn (Ghee) 345ml Cola Next,5,515.00,535.00
2,10 Kg Bucket,1,5075.00,5280.00
2,16 Kg Bucket,1,8150.00,8600.00
2,5 Kg Ghee Bucket,1,2605.00,2720.00
2,2.5 Kg Ghee Bucket,1,1310.00,1368.00
2,10 Ltr Olivola Cane(10Ltrx2),2,5510.00,5775.00
2,4.5 Ltr Olivola Bottle(4.5Ltrx4),4,2490.00,2640.75
2,3 Ltr Olivola Bottle(3Ltr x 6),6,1660.00,1758.75
2,(1Ltrx5) Ltr Olivola Ctn,5,550.00,577.50
2,750mlx6 Olivola  Bottle,6,415.00,440.00
3,Nido Powder 12×900g,12,2221.44,2372.69
3,Nido Powder  12x800g,12,2245.08,2397.94
3,Nido Powder 12x650g,12,1448.38,1516.81
3,Nido Powder 24×390g ,24,1039.63,1110.42
3,Nido Powder  24x375g,24,888.57,949.00
3,Nido Powder 576x25g,576,26.70,27.78
3,Nido SAN 36x200g,36,533.14,568.46
3,Nestle Buniyad  12x990g,12,1656.89,1762.23
3,Nestle Buniyad 12×600g,12,1110.71,1186.45
3,Nestle Buniyad 36×260g,36,479.83,511.62
3,Nestle Buniyad 96×130g,96,222.14,236.85
3,Nestle Buniyad 576×26g,576,44.43,47.37
3,Nestle Buniyad 288x32g,288,35.54,37.01
